IngID,Name,FullName,Hindi,Aliases,Group,State,Kcal,Protein,Carbs,Fat,Fiber,Common,Source
G011,garlic,"Garlic, big clove",lehsan,lehsun; lehsan,Condiments and Spices,raw,123.8,6.9,21.9,0.2,5.2,yes,IFCT2017
G012,garlic,"Garlic, small clove",lehsan,,Condiments and Spices,raw,122.8,6.8,21.8,0.1,5.5,variant,IFCT2017
G013,garlic,"Garlic, single clove, Kashmir",lehsan,,Condiments and Spices,raw,125,6.1,23.5,0.2,4,variant,IFCT2017
G014,ginger,"Ginger, fresh",adrak,adrak,Condiments and Spices,raw,55,2.2,9,0.9,5.4,yes,IFCT2017
G015,mango ginger,Mango ginger,aam adhrak,aam adhrak,Condiments and Spices,raw,42.3,1.5,7,0.7,4.7,yes,IFCT2017
G016,mint leaves,Mint leaves,pudina,pudina,Condiments and Spices,raw,37,4.7,2.4,0.7,5.9,yes,IFCT2017
G017,onion,"Onion, big",pyaz,pyaz; pyaaz,Condiments and Spices,raw,48,1.5,9.6,0.2,2.5,yes,IFCT2017
G018,onion,"Onion, small",pyaaz kali,,Condiments and Spices,raw,56.6,1.8,11.6,0.2,1.2,variant,IFCT2017
G019,asafoetida,Asafoetida,hing,hing,Condiments and Spices,raw,331.5,6.3,72,1.3,5.1,yes,IFCT2017
G020,cardamom,"Cardamom, green",elaychi,elaychi,Condiments and Spices,raw,255,8.1,47.8,2.6,23.1,yes,IFCT2017
G021,cardamom,"Cardamom, black",badi elaychi,,Condiments and Spices,raw,270.6,6.7,52.5,2.8,23.5,variant,IFCT2017
G022,chillies,"Chillies, red",mirchi,mirchi,Condiments and Spices,raw,236.6,12.7,29.5,6.4,31.2,yes,IFCT2017
G023,cloves,Cloves,lavang,lavang,Condiments and Spices,raw,186.7,5.9,18.7,8.4,34.5,yes,IFCT2017
G024,coriander seeds,Coriander seeds,dhania,dhania,Condiments and Spices,raw,268.9,10.7,13,17.5,44.8,yes,IFCT2017
G025,cumin seeds,Cumin seeds,jira,jira,Condiments and Spices,raw,304.5,13.9,22.6,16.6,30.4,yes,IFCT2017
G026,fenugreek seeds,Fenugreek seeds,methi,methi,Condiments and Spices,raw,234.9,25.4,10.6,5.7,47.6,yes,IFCT2017
G027,mace,Mace,avithri,avithri,Condiments and Spices,raw,355.6,6.2,26.5,24.4,20.3,yes,IFCT2017
G028,nutmeg,Nutmeg,jaiphal,jaiphal,Condiments and Spices,raw,463.7,6.3,27.6,36.5,12,yes,IFCT2017
G029,omum,Omum,ajwan,ajwan,Condiments and Spices,raw,357.3,15.9,24.5,21.1,20.6,yes,IFCT2017
G030,pippali,Pippali,pipli,pipli,Condiments and Spices,raw,216.5,10.5,35.7,2.3,34.1,yes,IFCT2017
G031,pepper,"Pepper, black",kalimirchi,kalimirchi,Condiments and Spices,raw,217.5,10.1,36.2,2.7,33.2,yes,IFCT2017
G032,poppy seeds,Poppy seeds,postdana,postdana,Condiments and Spices,raw,422.6,20.3,12.4,30.4,26.7,yes,IFCT2017
G033,turmeric powder,Turmeric powder,haldi,haldi,Condiments and Spices,raw,280.6,7.7,49.2,5,21.4,yes,IFCT2017
H001,almond,Almond,badam,badam,Nuts and Oil Seeds,raw,609.2,18.4,3,58.5,13.1,yes,IFCT2017
H002,arecanut,"Arecanut, dried, brown",supari,,Nuts and Oil Seeds,raw,350.6,5.8,70.4,4.4,11.4,variant,IFCT2017
H003,arecanut,"Arecanut, dried, red color",supari,,Nuts and Oil Seeds,raw,353,6.5,70.3,4.5,11.1,variant,IFCT2017
H004,arecanut,"Arecanut, fresh",supari,supari,Nuts and Oil Seeds,raw,244.7,2.7,45,5.5,7.6,yes,IFCT2017
H005,cashew nut,Cashew nut,kaju,kaju,Nuts and Oil Seeds,raw,582.7,18.8,25.5,45.2,3.9,yes,IFCT2017
H006,coconut,"Coconut, kernal, dry",nariyal,nariyal,Nuts and Oil Seeds,raw,624,7.3,8,63.3,15.9,yes,IFCT2017
H007,coconut,"Coconut, kernel, fresh",nariyal,,Nuts and Oil Seeds,raw,408.9,3.8,6.3,41.4,10.4,variant,IFCT2017
H008,garden cress,"Garden cress, seeds",halim,,Nuts and Oil Seeds,raw,445.3,23.4,33.7,23.7,8.3,variant,IFCT2017
H009,gingelly seeds,"Gingelly seeds, black",til,til,Nuts and Oil Seeds,raw,507.6,19.2,10.3,43.1,17.2,yes,IFCT2017
H010,gingelly seeds,"Gingelly seeds, brown",til,,Nuts and Oil Seeds,raw,516.5,21.6,9.8,43.2,17.2,variant,IFCT2017
H011,gingelly seeds,"Gingelly seeds, white",til,,Nuts and Oil Seeds,raw,519.6,21.7,10.8,43.1,17,variant,IFCT2017
H012,ground nut,Ground nut,moog phali,moog phali,Nuts and Oil Seeds,raw,520.1,23.7,17.3,39.6,10.4,yes,IFCT2017
H013,mustard seeds,Mustard seeds,rai,rai,Nuts and Oil Seeds,raw,509.6,19.5,16.8,40.2,14.1,yes,IFCT2017
H014,linseeds,Linseeds,alsi,alsi,Nuts and Oil Seeds,raw,443.8,18.6,11,35.7,26.2,yes,IFCT2017
H015,niger seeds,"Niger seeds, black",kala til,,Nuts and Oil Seeds,raw,512.4,18.9,23,38.6,10.9,variant,IFCT2017
H016,niger seeds,"Niger seeds, gray",kala til,kala til,Nuts and Oil Seeds,raw,508.6,18.3,20.6,39.5,11,yes,IFCT2017
H017,pine seed,Pine seed,chilgoza,chilgoza,Nuts and Oil Seeds,raw,594.2,12.6,26.8,48.8,3.8,yes,IFCT2017
H018,pistachio nuts,Pistachio nuts,pista,pista,Nuts and Oil Seeds,raw,539.4,23.4,15.8,42.5,10.6,yes,IFCT2017
H019,safflower seeds,Safflower seeds,kardi,kardi,Nuts and Oil Seeds,raw,473.5,17.7,30.2,30.9,13.5,yes,IFCT2017
H020,sunflower seeds,Sunflower seeds,surya mukhi,surya mukhi,Nuts and Oil Seeds,raw,586.3,23.5,6.9,51.9,10.8,yes,IFCT2017
H021,walnut,Walnut,akhrot,akhrot,Nuts and Oil Seeds,raw,671.4,14.9,10.1,64.3,5.4,yes,IFCT2017
I001,jaggery,"Jaggery, cane",gud,gud,Sugars,raw,353.7,1.9,84.9,0.2,0,yes,IFCT2017
I002,sugarcane,"Sugarcane, juice",ganne-ka-ras,ganne ka ras,Sugars,raw,57.8,0.2,13.1,0.4,0.6,yes,IFCT2017
J001,button mushroom,"Button mushroom, fresh",,,Mushrooms,raw,27.5,3.7,2,0.4,3.1,yes,IFCT2017
J002,chicken mushroom,"Chicken mushroom, fresh",,,Mushrooms,raw,21.3,1.8,2.8,0.3,2,yes,IFCT2017
J003,shiitake mushroom,"Shiitake mushroom, fresh",,,Mushrooms,raw,58.1,3.2,9,0.8,3,yes,IFCT2017
J004,oyster mushroom,"Oyster mushroom, dried",,,Mushrooms,raw,243.5,19,33.1,2.9,39.1,yes,IFCT2017
K001,toddy,Toddy,tarai,,Miscellaneous Foods,raw,24.1,0.2,5.7,0,0,no,IFCT2017
K002,coconut water,Coconut Water,nariyal ka pani,,Miscellaneous Foods,raw,15.3,0.3,3.2,0.2,0,no,IFCT2017
L001,milk,"Milk, whole, Buffalo",bhains ka dhood,,Milk and Milk Products,raw,107.3,3.7,8.4,6.6,0,variant,IFCT2017
L002,milk,"Milk, whole, Cow",gai ka doodh,gai ka doodh,Milk and Milk Products,raw,72.9,3.3,4.9,4.5,0,yes,IFCT2017
L003,paneer,Paneer,chhena,chhena,Milk and Milk Products,raw,257.9,18.9,12.4,14.8,0,yes,IFCT2017
L004,khoa,Khoa,,,Milk and Milk Products,raw,316,16.3,16.5,20.6,0,yes,IFCT2017
M001,egg,"Egg, poultry, whole, raw",,,Egg and Egg Products,raw,134.8,13.3,0,9.2,0,variant,IFCT2017
M002,egg,"Egg, poultry, white, raw",,,Egg and Egg Products,raw,44.7,10.8,0,0.1,0,variant,IFCT2017
M003,egg,"Egg, poultry, yolk, raw",,,Egg and Egg Products,raw,296.8,15.7,0,26.3,0,variant,IFCT2017
M004,egg,"Egg, poultry, whole, boiled",,,Egg and Egg Products,cooked,147.7,13.4,0,10.5,0,variant,IFCT2017
M005,egg,"Egg, poultry, white, boiled",,,Egg and Egg Products,cooked,52.6,12.4,0,0.3,0,variant,IFCT2017
M006,egg,"Egg, poultry, yolk, boiled",,,Egg and Egg Products,cooked,308.3,16.1,0,27.5,0,variant,IFCT2017
M007,egg,"Egg, poultry, omlet",,,Egg and Egg Products,raw,169.7,16.5,0,11.6,0,yes,IFCT2017
M008,egg,"Egg, country hen, whole, raw",,,Egg and Egg Products,raw,168.3,13.1,0,13,0,variant,IFCT2017
M009,egg,"Egg, country hen, whole, boiled",,,Egg and Egg Products,cooked,183.3,14.4,0,14.1,0,variant,IFCT2017
M010,egg,"Egg, country hen, omlet",,,Egg and Egg Products,raw,204.3,14.8,0,16.3,0,variant,IFCT2017
M011,egg,"Egg, duck, whole, boiled",,,Egg and Egg Products,cooked,176.4,13.8,0,13.6,0,variant,IFCT2017
M012,egg,"Egg, duck, whole, raw",,,Egg and Egg Products,raw,181.6,14.6,0,13.8,0,variant,IFCT2017
M013,egg,"Egg, duck, whole, omlet",,,Egg and Egg Products,raw,192.2,15.1,0,14.8,0,variant,IFCT2017
M014,egg,"Egg, quial, whole, raw",,,Egg and Egg Products,raw,151.8,12.4,0,11.5,0,variant,IFCT2017
M015,egg,"Egg, quial, whole, boiled",,,Egg and Egg Products,cooked,154.6,13,0,11.5,0,variant,IFCT2017
N001,chicken,"Chicken, poultry, leg, skinless",,,Poultry,raw,383.6,19.4,0,12.6,0,yes,IFCT2017
N002,chicken,"Chicken, poultry, thigh, skinless",,,Poultry,raw,199.8,18.2,0,14.2,0,variant,IFCT2017
N003,chicken,"Chicken, poultry, breast, skinless",,,Poultry,raw,168.3,21.8,0,9,0,variant,IFCT2017
N004,chicken,"Chicken, poultry, wing, skinless",,,Poultry,raw,192.9,17.4,0,13.8,0,variant,IFCT2017
N005,poultry,"Poultry, chicken, liver",,,Poultry,raw,123.8,21.6,0,4.1,0,yes,IFCT2017
N006,poultry,"Poultry, chicken, gizzard",,,Poultry,raw,92.3,18.2,0,2.1,0,variant,IFCT2017
N007,country hen,"Country hen, leg, with skin",,,Poultry,raw,172.8,17,0,11.7,0,yes,IFCT2017
N008,country hen,"Country hen, thigh, with skin",,,Poultry,raw,187.6,18.3,0,12.8,0,variant,IFCT2017
N009,country hen,"Country hen, breast, with skin",,,Poultry,raw,180,22.1,0,10.2,0,variant,IFCT2017
N010,country hen,"Country hen, wing, with skin",,,Poultry,raw,182.6,18.7,0,12.1,0,variant,IFCT2017
N011,duck,"Duck, meat, with skin",,,Poultry,raw,130.7,19.1,0,6,0,yes,IFCT2017
N012,emu,"Emu, meat, skinless",,,Poultry,raw,132.9,22.7,0,4.6,0,yes,IFCT2017
N013,guinea fowl,"Guinea fowl, meat, with skin",,,Poultry,raw,112.1,20.5,0,3.2,0,yes,IFCT2017
N014,pigeon,"Pigeon, meat, with skin",,,Poultry,raw,126.2,17.9,0,6,0,yes,IFCT2017
N015,quail,"Quail, meat, skinless",,,Poultry,raw,137.7,20.9,0,6,0,yes,IFCT2017
N016,turkey,"Turkey, leg, with skin",,,Poultry,raw,154.6,20.3,0,8.2,0,yes,IFCT2017
N017,turkey,"Turkey, thigh, with skin",,,Poultry,raw,138.9,20.5,0,6.3,0,variant,IFCT2017
N018,turkey,"Turkey, breast, with skin",,,Poultry,raw,160.4,22,0,8,0,variant,IFCT2017
N019,turkey,"Turkey, wing, with skin",,,Poultry,raw,184.3,21.9,0,10.8,0,variant,IFCT2017
O001,goat,"Goat, shoulder, meat",,,Animal Meat,raw,188.1,20.3,0,11.9,0,no,IFCT2017
O002,goat,"Goat, chops",,,Animal Meat,raw,135.8,20.4,0,6,0,no,IFCT2017
O003,goat,"Goat, legs",,,Animal Meat,raw,159.9,22.1,0,7.9,0,no,IFCT2017
O004,goat,"Goat, brain",,,Animal Meat,raw,127.4,13.8,0,8.1,0,no,IFCT2017
O005,goat,"Goat, tongue",,,Animal Meat,raw,188.6,16.6,0,13.7,0,no,IFCT2017
O006,goat,"Goat, lungs",,,Animal Meat,raw,95.8,16.9,0,3.1,0,no,IFCT2017
O007,goat,"Goat, heart",,,Animal Meat,raw,117.6,19.4,0,4.4,0,no,IFCT2017
O008,goat,"Goat, liver",,,Animal Meat,raw,125.7,20.3,0,4.9,0,no,IFCT2017
O009,goat,"Goat, tripe",,,Animal Meat,raw,92.3,15.4,0,3.4,0,no,IFCT2017
O010,goat,"Goat, spleen",,,Animal Meat,raw,95.8,18.5,0,2.4,0,no,IFCT2017
O011,goat,"Goat, kidneys",,,Animal Meat,raw,89.4,15.6,0,2.9,0,no,IFCT2017
O012,goat,"Goat, tube (small intestine)",,,Animal Meat,raw,125.5,12.9,0,8.3,0,no,IFCT2017
O013,goat,"Goat, testis",,,Animal Meat,raw,71.2,12.3,0,2.4,0,no,IFCT2017
O014,sheep,"Sheep, shoulder",,,Animal Meat,raw,200.8,18.2,0,14.3,0,no,IFCT2017
O015,sheep,"Sheep, chops",,,Animal Meat,raw,118.5,18,0,5.2,0,no,IFCT2017
O016,sheep,"Sheep, leg",,,Animal Meat,raw,164,21.4,0,8.7,0,no,IFCT2017
O017,sheep,"Sheep, brain",,,Animal Meat,raw,117.6,13.1,0,7.3,0,no,IFCT2017
O018,sheep,"Sheep, tongue",,,Animal Meat,raw,187.1,16.6,0,13.5,0,no,IFCT2017
O019,sheep,"Sheep, lungs",,,Animal Meat,raw,86.8,16.1,0,2.4,0,no,IFCT2017
O020,sheep,"Sheep, heart",,,Animal Meat,raw,106.4,18.2,0,3.7,0,no,IFCT2017
O021,sheep,"Sheep, liver",,,Animal Meat,raw,133.6,22.3,0,4.9,0,no,IFCT2017
O022,sheep,"Sheep, tripe",,,Animal Meat,raw,104,16.8,0,4.1,0,no,IFCT2017
O023,sheep,"Sheep, spleen",,,Animal Meat,raw,91.8,16,0,3,0,no,IFCT2017
O024,sheep,"Sheep, kidneys",,,Animal Meat,raw,91.8,16.2,0,2.9,0,no,IFCT2017
O025,beef,"Beef, shoulder",,,Animal Meat,raw,212.5,20.6,0,14.6,0,no,IFCT2017
O026,beef,"Beef, chops",,,Animal Meat,raw,139.8,19.8,0,6.7,0,no,IFCT2017
O027,beef,"Beef, round (leg)",,,Animal Meat,raw,157.3,22.6,0,7.4,0,no,IFCT2017
O028,beef,"Beef, brain",,,Animal Meat,raw,125,10.6,0,9.3,0,no,IFCT2017
O029,beef,"Beef, tongue",,,Animal Meat,raw,174.7,15.6,0,12.6,0,no,IFCT2017
O030,beef,"Beef, lungs",,,Animal Meat,raw,83.9,15.7,0,2.3,0,no,IFCT2017
O031,beef,"Beef, heart",,,Animal Meat,raw,103.5,17.7,0,3.6,0,no,IFCT2017
O032,beef,"Beef, liver",,,Animal Meat,raw,119.3,20.7,0,4,0,no,IFCT2017
O033,beef,"Beef, tripe",,,Animal Meat,raw,75.5,13.1,0,2.5,0,no,IFCT2017
O034,beef,"Beef, spleen",,,Animal Meat,raw,90.3,17.4,0,2.2,0,no,IFCT2017
O035,beef,"Beef, kidneys",,,Animal Meat,raw,104.9,17.1,0,4,0,no,IFCT2017
O036,calf,"Calf, shoulder",,,Animal Meat,raw,151.3,21,0,7.5,0,no,IFCT2017
O037,calf,"Calf, chops",,,Animal Meat,raw,125.2,22.5,0,3.9,0,no,IFCT2017
O038,calf,"Calf, round (leg)",,,Animal Meat,raw,147,21.1,0,6.9,0,no,IFCT2017
O039,calf,"Calf, brain",,,Animal Meat,raw,107.1,9.8,0,7.6,0,no,IFCT2017
O040,calf,"Calf, tongue",,,Animal Meat,raw,176.1,17.8,0,11.8,0,no,IFCT2017
O041,calf,"Calf, heart",,,Animal Meat,raw,109.7,18.8,0,3.8,0,no,IFCT2017
O042,calf,"Calf, liver",,,Animal Meat,raw,120.2,21,0,4,0,no,IFCT2017
O043,calf,"Calf, spleen",,,Animal Meat,raw,90.6,17.7,0,2.1,0,no,IFCT2017
O044,calf,"Calf, kidneys",,,Animal Meat,raw,92.5,15.2,0,3.5,0,no,IFCT2017
O045,mithun,"Mithun, shoulder",,,Animal Meat,raw,175.9,19.1,0,11.1,0,no,IFCT2017
O046,mithun,"Mithun, chops",,,Animal Meat,raw,128.1,18.2,0,6.1,0,no,IFCT2017
O047,mithun,"Mithun, round (leg)",,,Animal Meat,raw,115.9,19.6,0,4.1,0,no,IFCT2017
O048,pork,"Pork, shoulder",,,Animal Meat,raw,237.3,17.4,0,18.8,0,no,IFCT2017
O049,pork,"Pork, chops",,,Animal Meat,raw,178.8,19.4,0,11.3,0,no,IFCT2017
O050,pork,"Pork, ham",,,Animal Meat,raw,240.4,18.8,0,18.6,0,no,IFCT2017
O051,pork,"Pork, lungs",,,Animal Meat,raw,85.6,15.1,0,2.7,0,no,IFCT2017
O052,pork,"Pork, heart",,,Animal Meat,raw,109.2,16.3,0,4.9,0,no,IFCT2017
O053,pork,"Pork, liver",,,Animal Meat,raw,115.7,19.9,0,3.9,0,no,IFCT2017
O054,pork,"Pork, stomach",,,Animal Meat,raw,131.5,15.4,0,7.8,0,no,IFCT2017
O055,pork,"Pork, spleen",,,Animal Meat,raw,85.3,15.1,0,2.7,0,no,IFCT2017
O056,pork,"Pork, kidneys",,,Animal Meat,raw,90.6,14.4,0,3.7,0,no,IFCT2017
O057,pork,"Pork, tube (small intestine)",,,Animal Meat,raw,140.3,15,0,9,0,no,IFCT2017
O058,hare,"Hare, shoulder",,,Animal Meat,raw,144.1,21.1,0,6.6,0,no,IFCT2017
O059,hare,"Hare, chops",,,Animal Meat,raw,106.4,20.6,0,2.6,0,no,IFCT2017
O060,hare,"Hare, leg",,,Animal Meat,raw,120.2,20.5,0,4.2,0,no,IFCT2017
O061,rabbit,"Rabbit, shoulder",,,Animal Meat,raw,151.8,20,0,8,0,no,IFCT2017
O062,rabbit,"Rabbit, chops",,,Animal Meat,raw,135,22.6,0,4.9,0,no,IFCT2017
O063,rabbit,"Rabbit, leg",,,Animal Meat,raw,139.6,21.3,0,6,0,no,IFCT2017
P001,allathi,Allathi,,,Marine Fish,raw,97,21.8,0,1,0,no,IFCT2017
P002,aluva,Aluva,,,Marine Fish,raw,103.7,21.6,0,1.8,0,no,IFCT2017
P003,anchovy,Anchovy,,,Marine Fish,raw,87.7,19.9,0,0.8,0,no,IFCT2017
P004,ari fish,Ari fish,,,Marine Fish,raw,99.2,22,0,1.1,0,no,IFCT2017
P005,betki,Betki,,,Marine Fish,raw,67.9,15.3,0,0.3,0,no,IFCT2017
P006,black snapper,Black snapper,,,Marine Fish,raw,90.1,19.5,0,1.2,0,no,IFCT2017
P007,bombay duck,Bombay duck,,,Marine Fish,raw,68.6,13.5,0,1,0,no,IFCT2017
P008,bommuralu,Bommuralu,,,Marine Fish,raw,115.9,22.3,0,2.9,0,no,IFCT2017
P009,cat fish,Cat fish,,,Marine Fish,raw,109,22.2,0,2.1,0,no,IFCT2017
P010,chakla,Chakla,,,Marine Fish,raw,97,20.2,0,1.7,0,no,IFCT2017
P011,chappal,Chappal,,,Marine Fish,raw,75.8,17.2,0,0.7,0,no,IFCT2017
P012,chelu,Chelu,,,Marine Fish,raw,87.5,20,0,0.7,0,no,IFCT2017
P013,chembali,Chembali,,,Marine Fish,raw,97,20.1,0,1.8,0,no,IFCT2017
P014,eri meen,Eri meen,,,Marine Fish,raw,108.5,22.3,0,2,0,no,IFCT2017
P015,gobro,Gobro,,,Marine Fish,raw,86.5,19.4,0,0.9,0,no,IFCT2017
P016,guitar fish,Guitar fish,,,Marine Fish,raw,95.6,22.6,0,0.4,0,no,IFCT2017
P017,hilsa,Hilsa,hilsa,,Marine Fish,raw,258.8,21.8,0,18.5,0,no,IFCT2017
P018,jallal,Jallal,,,Marine Fish,raw,100.4,21.6,0,1.5,0,no,IFCT2017
P019,jathi vela meen,Jathi vela meen,,,Marine Fish,raw,108.3,22.5,0,1.9,0,no,IFCT2017
P020,kadal bral,Kadal bral,,,Marine Fish,raw,88,18.7,0,1.3,0,no,IFCT2017
P021,kadali,Kadali,,,Marine Fish,raw,126.7,22.1,0,4.2,0,no,IFCT2017
P022,kalamaara,Kalamaara,,,Marine Fish,raw,125,20.9,0,4.5,0,no,IFCT2017
P023,kalava,Kalava,,,Marine Fish,raw,89.4,19.4,0,1.2,0,no,IFCT2017
P024,kanamayya,Kanamayya,,,Marine Fish,raw,87.7,20.2,0,0.7,0,no,IFCT2017
P025,kannadi paarai,Kannadi paarai,,,Marine Fish,raw,101.1,22.1,0,1.3,0,no,IFCT2017
P026,karimeen,Karimeen,,,Marine Fish,raw,92.3,19.7,0,1.4,0,no,IFCT2017
P027,karnagawala,Karnagawala,,,Marine Fish,raw,86.8,19.5,0,0.8,0,no,IFCT2017
P028,kayrai,Kayrai,,,Marine Fish,raw,108.5,20.2,0,3,0,no,IFCT2017
P029,kiriyan,Kiriyan,,,Marine Fish,raw,132.9,22.5,0,4.7,0,no,IFCT2017
P030,kite fish,Kite fish,,,Marine Fish,raw,98.7,23.1,0,0.6,0,no,IFCT2017
P031,korka,Korka,,,Marine Fish,raw,126.2,23.7,0,3.4,0,no,IFCT2017
P032,kulam paarai,Kulam paarai,,,Marine Fish,raw,119.7,21.6,0,3.6,0,no,IFCT2017
P033,maagaa,Maagaa,,,Marine Fish,raw,87.5,20.1,0,0.7,0,no,IFCT2017
P034,mackerel,Mackerel,,,Marine Fish,raw,101.1,21.5,0,1.5,0,no,IFCT2017
P035,manda clathi,Manda clathi,,,Marine Fish,raw,95.1,21.3,0,1,0,no,IFCT2017
P036,matha,Matha,,,Marine Fish,raw,93,21.2,0,0.8,0,no,IFCT2017
P037,milk fish,Milk fish,,,Marine Fish,raw,105.6,23.7,0,1.1,0,no,IFCT2017
P038,moon fish,Moon fish,,,Marine Fish,raw,125.7,20.7,0,4.7,0,no,IFCT2017
P039,mullet,Mullet,,,Marine Fish,raw,93.9,20.2,0,1.3,0,no,IFCT2017
P040,mural,Mural,,,Marine Fish,raw,82.5,19,0,0.6,0,no,IFCT2017
P041,myil meen,Myil meen,,,Marine Fish,raw,98,22.9,0,0.6,0,no,IFCT2017
P042,nalla bontha,Nalla bontha,,,Marine Fish,raw,87,19.8,0,0.7,0,no,IFCT2017
P043,narba,Narba,,,Marine Fish,raw,103.3,22,0,1.6,0,no,IFCT2017
P044,paarai,Paarai,,,Marine Fish,raw,104,21.6,0,1.8,0,no,IFCT2017
P045,padayappa,Padayappa,,,Marine Fish,raw,86,19.7,0,0.7,0,no,IFCT2017
P046,pali kora,Pali kora,,,Marine Fish,raw,94.2,19.3,0,1.8,0,no,IFCT2017
P047,pambada,Pambada,,,Marine Fish,raw,128.3,22,0,4.4,0,no,IFCT2017
P048,pandukopa,Pandukopa,,,Marine Fish,raw,86,19.7,0,0.7,0,no,IFCT2017
P049,parava,Parava,,,Marine Fish,raw,111.6,21.5,0,2.7,0,no,IFCT2017
P050,parcus,Parcus,,,Marine Fish,raw,86.3,19.9,0,0.6,0,no,IFCT2017
P051,parrot fish,Parrot fish,,,Marine Fish,raw,89.6,20.8,0,0.6,0,no,IFCT2017
P052,perinkilichai,Perinkilichai,,,Marine Fish,raw,92.5,20.9,0,0.9,0,no,IFCT2017
P053,phopat,Phopat,,,Marine Fish,raw,101.3,22.1,0,1.3,0,no,IFCT2017
P054,piranha,Piranha,,,Marine Fish,raw,131.2,20.5,0,5.4,0,no,IFCT2017
P055,pomfret,"Pomfret, black",,,Marine Fish,raw,123.1,18.9,0,4.8,0,no,IFCT2017
P056,pomfret,"Pomfret, snub nose",,,Marine Fish,raw,89.6,21.1,0,0.5,0,no,IFCT2017
P057,pomfret,"Pomfret, white",,,Marine Fish,raw,122.6,19,0,5.1,0,no,IFCT2017
P058,pranel,Pranel,,,Marine Fish,raw,96.8,19.7,0,1.9,0,no,IFCT2017
P059,pulli paarai,Pulli paarai,,,Marine Fish,raw,95.4,20.1,0,1.6,0,no,IFCT2017
P060,queen fish,Queen fish,,,Marine Fish,raw,95.6,21,0,1.2,0,no,IFCT2017
P061,raai fish,Raai fish,,,Marine Fish,raw,102.8,21.6,0,1.7,0,no,IFCT2017
P062,raai vanthu,Raai vanthu,,,Marine Fish,raw,98,19.4,0,2.2,0,no,IFCT2017
P063,rani,Rani,,,Marine Fish,raw,90.1,18.8,0,1.5,0,no,IFCT2017
P064,ray fish,"Ray fish, bow head, spotted",,,Marine Fish,raw,83.4,19,0,0.7,0,no,IFCT2017
P065,red snapper,Red snapper,,,Marine Fish,raw,104.4,22.8,0,1.3,0,no,IFCT2017
P066,red snapper,"Red snapper, small",,,Marine Fish,raw,107.8,21.5,0,2.3,0,no,IFCT2017
P067,sadaya,Sadaya,,,Marine Fish,raw,110.4,20.7,0,3,0,no,IFCT2017
P068,salmon,Salmon,,,Marine Fish,raw,172.3,21,0,9.9,0,no,IFCT2017
P069,sangada,Sangada,,,Marine Fish,raw,105.9,20.3,0,2.7,0,no,IFCT2017
P070,sankata paarai,Sankata paarai,,,Marine Fish,raw,103.7,21.9,0,1.7,0,no,IFCT2017
P071,sardine,Sardine,,,Marine Fish,raw,152.2,17.9,0,9,0,no,IFCT2017
P072,shark,Shark,,,Marine Fish,raw,95.1,21.6,0,0.8,0,no,IFCT2017
P073,shark,"Shark, hammer head",,,Marine Fish,raw,103.3,23.4,0,0.8,0,no,IFCT2017
P074,shark,"Shark, spotted",,,Marine Fish,raw,91.8,21,0,0.8,0,no,IFCT2017
P075,shelavu,Shelavu,,,Marine Fish,raw,106.6,22.5,0,1.7,0,no,IFCT2017
P076,silan,Silan,,,Marine Fish,raw,151.3,22.7,0,6.7,0,no,IFCT2017
P077,silk fish,Silk fish,,,Marine Fish,raw,97.5,20.7,0,1.5,0,no,IFCT2017
P078,silver carp,Silver carp,,,Marine Fish,raw,132.6,21.7,0,5.2,0,no,IFCT2017
P079,sole fish,Sole fish,,,Marine Fish,raw,87.7,19.1,0,1.2,0,no,IFCT2017
P080,stingray,Stingray,,,Marine Fish,raw,97.5,24,0,0.7,0,no,IFCT2017
P081,tarlava,Tarlava,,,Marine Fish,raw,98.9,21.7,0,1.2,0,no,IFCT2017
P082,tholam,Tholam,,,Marine Fish,raw,103.3,20.8,0,2.1,0,no,IFCT2017
P083,tilapia,Tilapia,,,Marine Fish,raw,83.4,18.5,0,1.1,0,no,IFCT2017
P084,tuna,Tuna,,,Marine Fish,raw,112.3,24.5,0,1.4,0,no,IFCT2017
P085,tuna,"Tuna, striped",,,Marine Fish,raw,96.3,21.3,0,1.1,0,no,IFCT2017
P086,valava,Valava,,,Marine Fish,raw,98,21.8,0,1.1,0,no,IFCT2017
P087,vanjaram,Vanjaram,,,Marine Fish,raw,136.2,22.3,0,5.2,0,no,IFCT2017
P088,vela meen,Vela meen,,,Marine Fish,raw,128.3,22.2,0,4.3,0,no,IFCT2017
P089,vora,Vora,,,Marine Fish,raw,100.9,20.1,0,2.1,0,no,IFCT2017
P090,whale shark,Whale shark,,,Marine Fish,raw,95.8,21.8,0,0.8,0,no,IFCT2017
P091,xiphinis,Xiphinis,,,Marine Fish,raw,88.4,19.8,0,0.9,0,no,IFCT2017
P092,eggs,"Eggs, Cat fish",,,Marine Fish,raw,143.4,24.7,0,5.3,0,no,IFCT2017
Q001,crab,Crab,,,Marine Shellfish,raw,82,10.2,0,1.4,0,no,IFCT2017
Q002,crab,"Crab, sea",,,Marine Shellfish,raw,67.6,15.4,0,0.6,0,no,IFCT2017
Q003,lobster,"Lobster, brown",,,Marine Shellfish,raw,69.8,16,0,0.6,0,no,IFCT2017
Q004,lobster,"Lobster, king size",,,Marine Shellfish,raw,89.6,18.5,0,0.8,0,no,IFCT2017
